#URSI, topside IRI-corr, F2 storm model on
# Year, nday, UT, Lon, Lat, TEC(TECU), NmF2 (10^12 m-3)
2017 219  0.0  150.0   80.0   6.10  0.209268
2017 219  0.0  155.0   80.0   6.14  0.210240
2017 219  0.0  160.0   80.0   6.17  0.211151
2017 219  0.0  165.0   80.0   6.21  0.211988
2017 219  0.0  170.0   80.0   6.24  0.212738
2017 219  0.0  175.0   80.0   6.27  0.213382
2017 219  0.0  180.0   80.0   6.29  0.213902
2017 219  0.0 -175.0   77.5   6.39  0.217480
2017 219  0.0 -170.0   77.5   6.42  0.218153
2017 219  0.0 -165.0   77.5   6.44  0.218587
2017 219  0.0 -160.0   77.5   6.45  0.218764
2017 219  0.0 -155.0   77.5   6.46  0.218671
2017 219  0.0 -150.0   77.5   6.46  0.218300
2017 219  0.0 -145.0   77.5   6.44  0.217644
2017 219  0.0 -140.0   77.5   6.42  0.216706
2017 219  0.0 -135.0   77.5   6.39  0.215489
2017 219  0.0 -130.0   77.5   6.35  0.214001
2017 219  0.0 -125.0   77.5   6.30  0.212256
2017 219  0.0 -120.0   77.5   6.25  0.210270
2017 219  0.0 -115.0   77.5   6.18  0.208063
2017 219  0.0 -110.0   77.5   6.11  0.205661
2017 219  0.0 -105.0   77.5   6.03  0.203087
2017 219  0.0 -100.0   77.5   5.95  0.200372
2017 219  0.0  -95.0   77.5   5.86  0.197543
2017 219  0.0  -90.0   77.5   5.76  0.194625
2017 219  0.0  -85.0   77.5   5.66  0.191637
2017 219  0.0  -80.0   77.5   5.56  0.188602
2017 219  0.0  -75.0   77.5   5.46  0.185536
2017 219  0.0  -70.0   77.5   5.36  0.182459
2017 219  0.0  -65.0   77.5   5.26  0.179390
2017 219  0.0  -60.0   77.5   5.15  0.176345
2017 219  0.0  -55.0   77.5   5.05  0.173348
2017 219  0.0  -50.0   77.5   4.95  0.170420
2017 219  0.0  -45.0   77.5   4.86  0.167584
2017 219  0.0  -40.0   77.5   4.77  0.164867
2017 219  0.0  -35.0   77.5   4.68  0.162291
2017 219  0.0  -30.0   77.5   4.60  0.159885
2017 219  0.0  -25.0   77.5   4.53  0.157673
2017 219  0.0  -20.0   77.5   4.46  0.155681
2017 219  0.0  -15.0   77.5   4.41  0.153934
2017 219  0.0  -10.0   77.5   4.36  0.152450
2017 219  0.0   -5.0   77.5   4.32  0.151252
2017 219  0.0    0.0   77.5   4.29  0.150356
2017 219  0.0    5.0   77.5   4.28  0.149773
2017 219  0.0   10.0   77.5   4.27  0.149515
2017 219  0.0   15.0   77.5   4.27  0.149588
2017 219  0.0   20.0   77.5   4.29  0.149993
2017 219  0.0   25.0   77.5   4.31  0.150730
2017 219  0.0   30.0   77.5   4.34  0.151792
2017 219  0.0   35.0   77.5   4.38  0.153170
2017 219  0.0   40.0   77.5   4.43  0.154849
2017 219  0.0   45.0   77.5   4.49  0.156812
2017 219  0.0   50.0   77.5   4.55  0.159034
2017 219  0.0   55.0   77.5   4.62  0.161487
2017 219  0.0   60.0   77.5   4.70  0.164138
2017 219  0.0   65.0   77.5   4.78  0.166949
2017 219  0.0   70.0   77.5   4.86  0.169879
2017 219  0.0   75.0   77.5   4.94  0.172881
2017 219  0.0   80.0   77.5   5.03  0.175910
2017 219  0.0   85.0   77.5   5.11  0.178916
2017 219  0.0   90.0   77.5   5.20  0.181853
2017 219  0.0   95.0   77.5   5.28  0.184680
2017 219  0.0  100.0   77.5   5.36  0.187364
2017 219  0.0  105.0   77.5   5.44  0.189890
2017 219  0.0  110.0   77.5   5.51  0.192259
2017 219  0.0  115.0   77.5   5.58  0.194488
2017 219  0.0  120.0   77.5   5.65  0.196603
2017 219  0.0  125.0   77.5   5.72  0.198631
2017 219  0.0  130.0   77.5   5.79  0.200594
2017 219  0.0  135.0   77.5   5.86  0.202505
2017 219  0.0  140.0   77.5   5.92  0.204371
2017 219  0.0  145.0   77.5   5.98  0.206194
2017 219  0.0  150.0   77.5   6.05  0.207965
2017 219  0.0  155.0   77.5   6.11  0.209674
2017 219  0.0  160.0   77.5   6.16  0.211303
2017 219  0.0  165.0   77.5   6.22  0.212833
2017 219  0.0  170.0   77.5   6.27  0.214240
2017 219  0.0  175.0   77.5   6.32  0.215501
